,qn,fal,run,q1,q2,h,h_value
232,5.0,1.0,2.0,1.0,2.0,h_ac,-0.8514259576539672
233,5.0,1.0,3.0,1.0,2.0,h_ac,0.7959061400355184
234,5.0,1.0,4.0,1.0,2.0,h_ac,-0.15950836309406097
235,5.0,1.0,5.0,1.0,2.0,h_ac,0.7740520031776346
236,5.0,1.0,6.0,1.0,2.0,h_ac,1.1697165848802291
237,5.0,1.0,7.0,1.0,2.0,h_ac,-0.7147937545374891
238,5.0,1.0,8.0,1.0,2.0,h_ac,-0.46636581160195983
239,5.0,1.0,9.0,1.0,2.0,h_ac,-0.8917429622523383
240,2.0,1.0,0.0,1.0,4.0,h_ad,0.6596801870696815
241,2.0,1.0,1.0,1.0,4.0,h_ad,-0.422929936140973
242,2.0,1.0,2.0,1.0,4.0,h_ad,-0.5856454836674161
243,2.0,1.0,3.0,1.0,4.0,h_ad,-0.5209700919143934
244,2.0,1.0,4.0,1.0,4.0,h_ad,-2.70960100723497
245,2.0,1.0,5.0,1.0,4.0,h_ad,0.33874883955444124
246,2.0,1.0,6.0,1.0,4.0,h_ad,0.032185825797761775
247,2.0,1.0,7.0,1.0,4.0,h_ad,0.7479727130973325
248,2.0,1.0,8.0,1.0,4.0,h_ad,0.32642832053188503
249,2.0,1.0,9.0,1.0,4.0,h_ad,-0.658613477434461
250,3.0,2.0,0.0,2.0,3.0,h_ad,1.6554960120663857
251,3.0,2.0,1.0,2.0,3.0,h_ad,1.0326581863800026
252,3.0,2.0,2.0,2.0,3.0,h_ad,-2.032890214596527
253,3.0,2.0,3.0,2.0,3.0,h_ad,-0.05215177103171497
254,3.0,2.0,4.0,2.0,3.0,h_ad,-0.27856427705698333
255,3.0,2.0,5.0,2.0,3.0,h_ad,0.6182804991121122
256,3.0,2.0,6.0,2.0,3.0,h_ad,1.3445019088326096
257,3.0,2.0,7.0,2.0,3.0,h_ad,-0.7499255011622756
258,3.0,2.0,8.0,2.0,3.0,h_ad,-1.8997365771713628
259,3.0,2.0,9.0,2.0,3.0,h_ad,-0.9348698465412252
260,4.0,2.0,0.0,2.0,4.0,h_ad,1.2073263372779424
261,4.0,2.0,1.0,2.0,4.0,h_ad,-1.1448345603670587
262,4.0,2.0,2.0,2.0,4.0,h_ad,-0.13593968557715266
263,4.0,2.0,3.0,2.0,4.0,h_ad,0.8882017121675048
264,4.0,2.0,4.0,2.0,4.0,h_ad,-1.7288306351521245
265,4.0,2.0,5.0,2.0,4.0,h_ad,0.35628279456787504
266,4.0,2.0,6.0,2.0,4.0,h_ad,-1.5459814703796464
267,4.0,2.0,7.0,2.0,4.0,h_ad,-1.556276137852703
268,4.0,2.0,8.0,2.0,4.0,h_ad,0.25155528960018075
269,4.0,2.0,9.0,2.0,4.0,h_ad,-1.0005055946512436
270,5.0,1.0,0.0,1.0,2.0,h_ad,0.8334031135307687
271,5.0,1.0,1.0,1.0,2.0,h_ad,0.7691922727801025
272,5.0,1.0,2.0,1.0,2.0,h_ad,0.6888784431163466
273,5.0,1.0,3.0,1.0,2.0,h_ad,-0.6644745573963017
274,5.0,1.0,4.0,1.0,2.0,h_ad,-0.5574621344978757
275,5.0,1.0,5.0,1.0,2.0,h_ad,-0.7229182715743997
276,5.0,1.0,6.0,1.0,2.0,h_ad,0.7476899631603542
277,5.0,1.0,7.0,1.0,2.0,h_ad,-0.8419569651120555
278,5.0,1.0,8.0,1.0,2.0,h_ad,-0.5445482998952813
279,5.0,1.0,9.0,1.0,2.0,h_ad,-0.4045013736703377
280,2.0,1.0,0.0,1.0,4.0,h_bc,-0.8312717557734773
281,2.0,1.0,1.0,1.0,4.0,h_bc,-0.7858239813080851
282,2.0,1.0,2.0,1.0,4.0,h_bc,-0.8703687428439796
283,2.0,1.0,3.0,1.0,4.0,h_bc,0.8980690145678002
284,2.0,1.0,4.0,1.0,4.0,h_bc,1.3817925328045368
285,2.0,1.0,5.0,1.0,4.0,h_bc,0.9365742710497079
286,2.0,1.0,6.0,1.0,4.0,h_bc,0.23668663673858684
287,2.0,1.0,7.0,1.0,4.0,h_bc,-1.3677810939287662
288,2.0,1.0,8.0,1.0,4.0,h_bc,0.40344804999778183
289,2.0,1.0,9.0,1.0,4.0,h_bc,-1.5436955145917703
290,3.0,2.0,0.0,2.0,3.0,h_bc,-1.4285898471664966
291,3.0,2.0,1.0,2.0,3.0,h_bc,0.45931720954372995
292,3.0,2.0,2.0,2.0,3.0,h_bc,1.9235567145643029
293,3.0,2.0,3.0,2.0,3.0,h_bc,0.8068025719851635
294,3.0,2.0,4.0,2.0,3.0,h_bc,0.7479992812070021
295,3.0,2.0,5.0,2.0,3.0,h_bc,0.8399588341165451
296,3.0,2.0,6.0,2.0,3.0,h_bc,0.8656025329881332
297,3.0,2.0,7.0,2.0,3.0,h_bc,-1.0939577019728637
298,3.0,2.0,8.0,2.0,3.0,h_bc,-1.0403424000178847
299,3.0,2.0,9.0,2.0,3.0,h_bc,-0.8655086007426687
300,4.0,2.0,0.0,2.0,4.0,h_bc,0.8002129939202707
301,4.0,2.0,1.0,2.0,4.0,h_bc,0.4347557927180627
302,4.0,2.0,2.0,2.0,4.0,h_bc,-0.9511366936804341
303,4.0,2.0,3.0,2.0,4.0,h_bc,1.0843039422280045
304,4.0,2.0,4.0,2.0,4.0,h_bc,-1.9983725030590758
305,4.0,2.0,5.0,2.0,4.0,h_bc,-0.5532664011390303
306,4.0,2.0,6.0,2.0,4.0,h_bc,-1.0712479842180627
307,4.0,2.0,7.0,2.0,4.0,h_bc,1.2384909406691411
308,4.0,2.0,8.0,2.0,4.0,h_bc,0.438833949628992
309,4.0,2.0,9.0,2.0,4.0,h_bc,-0.998322493766999
310,5.0,1.0,0.0,1.0,2.0,h_bc,1.5653569361216326
311,5.0,1.0,1.0,1.0,2.0,h_bc,1.1540608890786528
312,5.0,1.0,2.0,1.0,2.0,h_bc,-0.9730248187098139
313,5.0,1.0,3.0,1.0,2.0,h_bc,-0.7619983993480834
314,5.0,1.0,4.0,1.0,2.0,h_bc,0.9847324450841345
315,5.0,1.0,5.0,1.0,2.0,h_bc,1.5857215522638062
316,5.0,1.0,6.0,1.0,2.0,h_bc,-0.680870429745013
317,5.0,1.0,7.0,1.0,2.0,h_bc,1.2282799717608253
318,5.0,1.0,8.0,1.0,2.0,h_bc,-0.825653355750044
319,5.0,1.0,9.0,1.0,2.0,h_bc,0.6977684338451032
320,2.0,1.0,0.0,1.0,4.0,h_bd,1.4300460559537993
