,user,userID,pos,qn,q1,q2,p1,p2,p12,p123,fal,irr,ent,a00,a01,a10,a11,qorder
95,10.0,15834726.0,5.0,5.0,1.0,2.0,0.76,0.73,0.77,,1.0,0.040000000000000036,0.0,,0.33080815862024504,0.35538636185458305,0.8774964387392122,0123
96,10.0,15834726.0,6.0,6.0,1.0,3.0,,,,,2.0,,0.0,,,,,
97,10.0,15834726.0,7.0,7.0,1.0,3.0,0.79,0.61,0.64,,2.0,0.15000000000000002,0.0,,-0.1524444072789275,0.2811045443363758,0.9758759646612778,0213
99,11.0,38339051.0,0.0,0.0,1.0,2.0,0.0,1.0,0.15,,1.0,0.15,0.0,,1.0269152277523534,-0.3872983346207417,0.3872983346207417,0123
100,11.0,38339051.0,1.0,1.0,3.0,4.0,0.0,0.53,0.21,,1.0,0.21,0.0,0.503597149482437,0.571305444603116,-0.458257569495584,0.458257569495584,2301
101,11.0,38339051.0,2.0,2.0,1.0,4.0,0.66,0.07,0.78,,1.0,0.71,0.0,,-0.5090103479553905,0.265736442674821,0.8831760866327847,0312
102,11.0,38339051.0,3.0,5.0,1.0,2.0,0.68,0.61,0.93,,1.0,0.32000000000000006,0.0,0.09807461801263659,0.1401710256194305,0.20182530286976463,0.9643650760992956,0123
103,11.0,38339051.0,4.0,3.0,2.0,3.0,1.0,0.6,0.59,,2.0,0.41000000000000003,0.0,,-0.318768447362763,0.23496835455467502,1.1792452078184203,1203
104,11.0,38339051.0,5.0,4.0,2.0,4.0,1.0,0.25,0.13,,2.0,0.87,0.0,,-0.7071067811865476,-0.08260698134670774,1.496820543719803,1302
105,11.0,38339051.0,6.0,6.0,1.0,3.0,0.27,0.56,0.28,,2.0,0.28,0.0,0.3267881090139359,0.3234536015908829,-0.14178538543466823,0.8766323082696217,0213
106,11.0,38339051.0,7.0,7.0,1.0,3.0,,,,,2.0,,0.0,,,,,
108,12.0,94467583.0,0.0,0.0,1.0,2.0,0.63,0.95,0.71,,1.0,0.07999999999999996,0.0,,0.5357898978913863,0.27988223871454665,0.8426149773176358,0123
109,12.0,94467583.0,1.0,1.0,3.0,4.0,0.81,0.03,0.04,,1.0,0.010000000000000002,0.0,,0.04494897427831779,1.0727922061357855,0.2,2301
110,12.0,94467583.0,2.0,5.0,1.0,2.0,0.75,0.62,0.79,,1.0,0.17000000000000004,0.0,0.21598377432831312,0.22473343083444552,0.33592542966003003,0.8888194417315589,0123
111,12.0,94467583.0,3.0,2.0,1.0,4.0,0.37,0.69,0.71,,1.0,0.33999999999999997,0.0,0.42354051572228774,0.3321190351294373,0.017617549386626852,0.8426149773176358,0312
112,12.0,94467583.0,4.0,3.0,2.0,3.0,0.83,0.05,0.06,,2.0,0.77,0.0,,-0.9721821066556746,0.10803630269509057,1.180373569977422,1203
113,12.0,94467583.0,5.0,4.0,2.0,4.0,0.64,0.64,0.79,,2.0,-0.15000000000000002,0.0,0.5570814190018151,0.0,0.4081095819355893,0.7232612679628867,1302
